Date,Open,High,Low,Close,Adj Close,Volume
2019-06-21,8028.689941,8073.020020,8011.200195,8031.709961,8031.709961,2894340000
2019-06-24,8040.580078,8047.560059,8004.629883,8005.700195,8005.700195,2070370000
2019-06-25,8005.270020,8007.310059,7879.149902,7884.720215,7884.720215,2127310000
2019-06-26,7933.919922,7974.279785,7903.069824,7909.970215,7909.970215,2104750000
2019-06-27,7939.359863,7976.580078,7935.470215,7967.759766,7967.759766,2023120000
2019-06-28,7988.759766,8010.149902,7961.459961,8006.240234,8006.240234,4078990000
2019-07-01,8145.850098,8150.450195,8059.290039,8091.160156,8091.160156,2208900000
2019-07-02,8086.649902,8109.370117,8063.109863,8109.089844,8109.089844,1946320000
2019-07-03,8129.569824,8170.229980,8122.339844,8170.229980,8170.229980,1548190000
2019-07-05,8123.279785,8171.970215,8093.660156,8161.790039,8161.790039,149410000
2019-07-08,8112.910156,8161.790039,8078.390137,8098.379883,8098.379883,177320000
2019-07-09,8061.410156,8146.979980,8061.319824,8141.729980,8141.729980,170720000
2019-07-10,8183.189941,8228.599609,8160.560059,8202.530273,8202.530273,184910000
2019-07-11,8219.280273,8226.179688,8171.629883,8196.040039,8196.040039,1966970000
2019-07-12,8209.200195,8245.660156,8201.519531,8244.139648,8244.139648,1824870000
2019-07-15,8263.179688,8264.780273,8236.269531,8258.190430,8258.190430,1783980000
2019-07-16,8251.660156,8259.750000,8204.230469,8222.799805,8222.799805,1933960000
2019-07-17,8224.000000,8230.669922,8184.660156,8185.209961,8185.209961,166520000
2019-07-18,8151.759766,8215.580078,8135.120117,8207.240234,8207.240234,2016310000
2019-07-19,8241.339844,8245.780273,8144.629883,8146.490234,8146.490234,1878730000
2019-07-22,8171.990234,8218.419922,8171.540039,8204.139648,8204.139648,1845770000
2019-07-23,8242.500000,8251.830078,8193.889648,8251.400391,8251.400391,1832220000
2019-07-24,8227.360352,8321.809570,8226.500000,8321.500000,8321.500000,1947550000
2019-07-25,8294.679688,8295.950195,8233.400391,8238.540039,8238.540039,2023130000
2019-07-26,8294.299805,8339.639648,8291.120117,8330.209961,8330.209961,1954350000
2019-07-29,8325.099609,8325.280273,8247.370117,8293.330078,8293.330078,1874780000
2019-07-30,8231.769531,8295.459961,8228.019531,8273.610352,8273.610352,1884300000
2019-07-31,8290.799805,8299.830078,8110.020020,8175.419922,8175.419922,2667060000
2019-08-01,8190.560059,8311.040039,8080.520020,8111.120117,8111.120117,2792650000
2019-08-02,8056.419922,8068.799805,7953.669922,8004.069824,8004.069824,2252550000
2019-08-05,7823.330078,7836.450195,7662.899902,7726.040039,7726.040039,2636740000
2019-08-06,7804.509766,7845.009766,7739.569824,7833.270020,7833.270020,2201610000
2019-08-07,7747.270020,7881.379883,7702.419922,7862.830078,7862.830078,2453230000
2019-08-08,7921.589844,8041.120117,7896.149902,8039.160156,8039.160156,2415670000
2019-08-09,7997.189941,8020.560059,7910.350098,7959.140137,7959.140137,2224330000
2019-08-12,7907.490234,7924.990234,7833.790039,7863.410156,7863.410156,2056360000
2019-08-13,7852.370117,8065.240234,7851.580078,8016.359863,8016.359863,2346980000
2019-08-14,7877.330078,7900.279785,7762.870117,7773.939941,7773.939941,2522870000
2019-08-15,7790.200195,7805.930176,7716.549805,7766.620117,7766.620117,2182590000
2019-08-16,7828.350098,7907.520020,7828.350098,7895.990234,7895.990234,1995130000
2019-08-19,8006.180176,8026.750000,7895.990234,8002.810059,8002.810059,1934980000
2019-08-20,7989.359863,8010.580078,7948.089844,7948.560059,7948.560059,1747580000
2019-08-21,8017.069824,8036.939941,7998.500000,8020.209961,8020.209961,1716370000
2019-08-22,8038.790039,8048.580078,7937.120117,7991.390137,7991.390137,1777630000
2019-08-23,7943.649902,8005.339844,7730.770020,7751.770020,7751.770020,2207070000
2019-08-26,7829.580078,7856.040039,7789.049805,7853.740234,7853.740234,1688860000
2019-08-27,7908.779785,7916.830078,7795.180176,7826.950195,7826.950195,1913760000
2019-08-28,7798.350098,7866.870117,7766.669922,7856.879883,7856.879883,1656930000
2019-08-29,7945.779785,7992.290039,7925.830078,7973.390137,7973.390137,1700840000
2019-08-30,8015.160156,8017.910156,7914.740234,7962.879883,7962.879883,1665840000
2019-09-03,7906.439941,7940.370117,7847.319824,7874.160156,7874.160156,1936210000
2019-09-04,7949.810059,7981.410156,7928.939941,7976.879883,7976.879883,1891300000
2019-09-05,8061.290039,8134.419922,8061.290039,8116.830078,8116.830078,2096300000
2019-09-06,8125.580078,8134.390137,8098.520020,8103.069824,8103.069824,1876380000
2019-09-09,8130.910156,8131.660156,8052.339844,8087.439941,8087.439941,2172240000
2019-09-10,8049.979980,8086.529785,8001.680176,8084.160156,8084.160156,2362860000
2019-09-11,8091.680176,8169.680176,8081.560059,8169.680176,8169.680176,2310440000
2019-09-12,8206.580078,8243.799805,8176.729980,8194.469727,8194.469727,2159260000
2019-09-13,8190.569824,8210.200195,8165.470215,8176.709961,8176.709961,1976770000
2019-09-16,8121.640137,8165.330078,8121.250000,8153.540039,8153.540039,1869220000
2019-09-17,8148.649902,8188.229980,8139.819824,8186.020020,8186.020020,1850340000
2019-09-18,8174.620117,8179.870117,8086.220215,8177.390137,8177.390137,2034880000
2019-09-19,8193.589844,8237.429688,8174.319824,8182.879883,8182.879883,1792700000
2019-09-20,8184.879883,8202.820313,8086.160156,8117.669922,8117.669922,3359380000
